# E [GeV]         E^3 Phi_a [GeV^2/cm^2/s/sr]
1.00000E+04               7.32517E-12
1.25893E+04               8.63961E-12
1.58489E+04               1.01520E-11
1.99526E+04               1.18371E-11
2.51189E+04               1.37546E-11
3.16228E+04               1.60589E-11
3.98107E+04               1.85122E-11
5.01187E+04               2.15057E-11
6.30957E+04               2.48232E-11
7.94328E+04               2.80846E-11
1.00000E+05               3.11311E-11
1.25893E+05               3.47022E-11
1.58489E+05               3.81951E-11
1.99526E+05               4.06989E-11
2.51189E+05               4.24424E-11
3.16228E+05               4.48496E-11
3.98107E+05               4.55541E-11
5.01187E+05               4.47676E-11
6.30957E+05               4.31920E-11
7.94328E+05               4.21033E-11
1.00000E+06               4.10116E-11
1.25893E+06               4.01548E-11
1.58489E+06               4.00295E-11
1.99526E+06               4.06004E-11
2.51189E+06               4.14569E-11
3.16228E+06               4.23298E-11
3.98107E+06               4.29416E-11
5.01187E+06               4.25223E-11
6.30957E+06               4.21972E-11
7.94328E+06               4.31002E-11
1.00000E+07               4.45678E-11
1.25893E+07               4.76998E-11
1.58489E+07               5.32671E-11
1.99526E+07               6.22424E-11
2.51189E+07               7.28540E-11
3.16228E+07               8.58253E-11
3.98107E+07               1.02155E-10
5.01187E+07               1.22060E-10
6.30957E+07               1.45080E-10
7.94328E+07               1.72023E-10
1.00000E+08               2.03620E-10
1.25893E+08               2.40537E-10
1.58489E+08               2.85097E-10
1.99526E+08               3.37175E-10
2.51189E+08               3.97710E-10
3.16228E+08               4.68250E-10
3.98107E+08               5.45417E-10
5.01187E+08               6.28789E-10
6.30957E+08               7.11278E-10
7.94328E+08               8.15125E-10
1.00000E+09               9.45861E-10
1.25893E+09               1.11045E-09
1.58489E+09               1.28595E-09
1.99526E+09               1.45211E-09
2.51189E+09               1.60290E-09
3.16228E+09               1.64763E-09
3.98107E+09               1.68536E-09
5.01187E+09               1.72888E-09
6.30957E+09               1.74127E-09
7.94328E+09               1.64197E-09
1.00000E+10               1.41534E-09
