Average Energy [GeV]    numu/m^2/GeV/POT
1.00000000000000007e-18    2.65999999999999973e-07
2.99999999999999983e-18    1.42599999999999998e-06
5.00000000000000036e-18    3.05999999999999993e-06
7.00000000000000127e-18    5.02000000000000022e-06
8.99999999999999987e-18    7.06000000000000017e-06
1.10000000000000000e-17    8.91999999999999930e-06
1.30000000000000002e-17    1.08999999999999990e-05
1.50000000000000034e-17    1.29999999999999992e-05
1.69999999999999989e-17    1.59999999999999993e-05
1.90000000000000006e-17    2.05999999999999993e-05
2.10000000000000023e-17    2.26000000000000005e-05
2.29999999999999978e-17    2.40000000000000006e-05
2.49999999999999995e-17    2.65999999999999994e-05
2.70000000000000012e-17    2.91999999999999983e-05
2.90000000000000028e-17    3.19999999999999986e-05
3.09999999999999984e-17    3.43999999999999959e-05
3.30000000000000000e-17    3.80000000000000021e-05
3.49999999999999956e-17    4.17999999999999996e-05
3.69999999999999973e-17    4.55999999999999971e-05
3.89999999999999989e-17    4.99999999999999956e-05
4.10000000000000006e-17    5.50000000000000020e-05
4.29999999999999961e-17    6.01999999999999996e-05
4.49999999999999978e-17    6.61999999999999964e-05
4.69999999999999933e-17    7.17999999999999970e-05
4.89999999999999950e-17    7.83999999999999948e-05
5.10000000000000029e-17    8.54000000000000023e-05
5.30000000000000046e-17    9.21999999999999914e-05
5.50000000000000062e-17    9.97999999999999999e-05
5.70000000000000018e-17    1.07999999999999996e-04
5.89999999999999973e-17    1.16199999999999992e-04
6.09999999999999928e-17    1.23399999999999991e-04
6.30000000000000007e-17    1.31199999999999991e-04
6.49999999999999962e-17    1.40999999999999985e-04
6.70000000000000040e-17    1.48400000000000002e-04
6.89999999999999872e-17    1.57999999999999992e-04
7.09999999999999951e-17    1.66400000000000006e-04
7.29999999999999906e-17    1.75400000000000008e-04
7.49999999999999984e-17    1.88199999999999994e-04
7.70000000000000063e-17    1.95599999999999984e-04
7.90000000000000018e-17    2.05999999999999993e-04
8.10000000000000096e-17    2.17999999999999986e-04
8.29999999999999928e-17    2.27999999999999985e-04
8.50000000000000007e-17    2.37999999999999985e-04
8.69999999999999962e-17    2.50000000000000005e-04
8.90000000000000041e-17    2.59999999999999977e-04
9.09999999999999996e-17    2.71999999999999998e-04
9.29999999999999951e-17    2.81999999999999970e-04
9.49999999999999906e-17    2.91999999999999996e-04
9.69999999999999985e-17    3.01999999999999968e-04
9.89999999999999940e-17    3.13999999999999989e-04
1.01000000000000002e-16    3.19999999999999972e-04
1.02999999999999997e-16    3.19999999999999972e-04
1.05000000000000005e-16    3.29999999999999998e-04
1.07000000000000001e-16    3.31999999999999993e-04
1.09000000000000009e-16    3.37999999999999976e-04
1.11000000000000004e-16    3.31999999999999993e-04
1.12999999999999987e-16    3.29999999999999998e-04
1.14999999999999995e-16    3.29999999999999998e-04
1.16999999999999978e-16    3.28000000000000004e-04
1.18999999999999986e-16    3.26000000000000009e-04
1.20999999999999994e-16    3.19999999999999972e-04
1.23000000000000002e-16    3.15999999999999983e-04
1.25000000000000010e-16    3.06000000000000011e-04
1.26999999999999993e-16    2.99999999999999974e-04
1.29000000000000001e-16    2.95999999999999985e-04
1.31000000000000009e-16    2.95999999999999985e-04
1.33000000000000016e-16    2.86000000000000013e-04
1.35000000000000000e-16    2.73999999999999992e-04
1.37000000000000007e-16    2.68000000000000009e-04
1.38999999999999991e-16    2.61999999999999972e-04
1.40999999999999999e-16    2.53999999999999994e-04
1.42999999999999982e-16    2.46000000000000016e-04
1.44999999999999990e-16    2.35999999999999990e-04
1.46999999999999997e-16    2.23999999999999997e-04
1.49000000000000005e-16    2.15999999999999992e-04
1.50999999999999988e-16    2.05999999999999993e-04
1.52999999999999996e-16    1.94400000000000009e-04
1.55000000000000004e-16    1.85999999999999995e-04
1.57000000000000012e-16    1.76599999999999983e-04
1.58999999999999995e-16    1.67199999999999998e-04
1.62000000000000019e-16    1.50800000000000006e-04
1.65999999999999986e-16    1.33399999999999990e-04
1.70000000000000001e-16    1.16199999999999992e-04
1.73999999999999992e-16    1.03399999999999993e-04
1.78000000000000008e-16    8.88000000000000036e-05
1.84999999999999999e-16    7.32000000000000039e-05
1.94999999999999989e-16    5.53999999999999981e-05
2.04999999999999978e-16    4.55999999999999971e-05
2.15000000000000042e-16    3.74000000000000011e-05
2.25000000000000008e-16    3.24000000000000015e-05
2.34999999999999973e-16    2.77999999999999981e-05
2.50000000000000019e-16    2.27999999999999985e-05
2.69999999999999999e-16    1.80200000000000003e-05
