                        Flux [/cm^2/50MeV/1E21POT]
Bin#   Energy           numu      numubar   nue       nuebar 
----------------------------------------------------------------
1      0.00 - 0.01      1.35e+09  1.17e+09  5.53e+06  1.59e+07 
2      0.01 - 0.02      7.93e+09  6.65e+09  2.08e+07  9.10e+07 
3      0.02 - 0.03      1.86e+10  1.45e+10  4.67e+07  2.10e+08 
4      0.03 - 0.04      3.16e+10  2.38e+10  7.68e+07  3.94e+08 
5      0.04 - 0.05      4.59e+10  3.33e+10  1.12e+08  6.29e+08 
6      0.05 - 0.06      5.98e+10  4.23e+10  1.44e+08  8.79e+08 
7      0.06 - 0.07      7.08e+10  5.16e+10  1.84e+08  1.18e+09 
8      0.07 - 0.08      7.34e+10  6.07e+10  2.24e+08  1.47e+09 
9      0.08 - 0.09      7.11e+10  7.68e+10  2.60e+08  1.80e+09 
10     0.09 - 0.10      6.68e+10  1.00e+11  2.92e+08  2.19e+09 
11     0.10 - 0.11      6.17e+10  1.09e+11  3.25e+08  2.51e+09 
12     0.11 - 0.12      5.74e+10  1.19e+11  3.62e+08  2.85e+09 
13     0.12 - 0.13      5.18e+10  1.29e+11  3.85e+08  3.20e+09 
14     0.13 - 0.14      4.87e+10  1.41e+11  4.30e+08  3.54e+09 
15     0.14 - 0.15      4.88e+10  1.56e+11  4.58e+08  3.85e+09 
16     0.15 - 0.16      4.57e+10  1.68e+11  4.93e+08  4.16e+09 
17     0.16 - 0.17      4.59e+10  1.83e+11  5.18e+08  4.43e+09 
18     0.17 - 0.18      4.50e+10  2.02e+11  5.59e+08  4.80e+09 
19     0.18 - 0.19      4.47e+10  2.21e+11  5.77e+08  5.04e+09 
20     0.19 - 0.20      4.58e+10  2.44e+11  5.95e+08  5.22e+09 
21     0.20 - 0.21      4.44e+10  2.67e+11  6.28e+08  5.54e+09 
22     0.21 - 0.22      4.45e+10  2.93e+11  6.56e+08  5.79e+09 
23     0.22 - 0.23      4.44e+10  3.17e+11  6.90e+08  5.95e+09 
