  Elo    Ehi        numu      numubar         nue      nuebar
0.00  0.05    8.7490e+13    6.1800e+13    5.4500e+11    1.2350e+11
0.05  0.10    6.3014e+13    3.8462e+13    2.1715e+12    3.0450e+11
0.10  0.15    3.4130e+13    1.4451e+13    3.3585e+12    3.5950e+11
0.15  0.20    2.3010e+13    7.8705e+12    3.1115e+12    2.8200e+11
0.20  0.25    1.0938e+14    4.9520e+12    8.2850e+11    2.3450e+11
0.25  0.30    1.3452e+13    3.4100e+12    3.8250e+11    1.7000e+11
0.30  0.35    1.0977e+13    2.4585e+12    3.1100e+11    1.3650e+11
0.35  0.40    9.4240e+12    1.9340e+12    2.5500e+11    1.1500e+11
0.40  0.45    7.9625e+12    1.5465e+12    2.1900e+11    8.9000e+10
0.45  0.50    7.0545e+12    1.2770e+12    1.9550e+11    8.7500e+10
0.50  0.55    6.3770e+12    1.0475e+12    1.8200e+11    7.5000e+10
0.55  0.60    5.6700e+12    8.7750e+11    1.6600e+11    7.0500e+10
0.60  0.65    5.1305e+12    7.5950e+11    1.5300e+11    6.7000e+10
0.65  0.70    4.7150e+12    6.8100e+11    1.3900e+11    4.8000e+10
0.70  0.75    4.3445e+12    6.0850e+11    1.1300e+11    4.6500e+10
0.75  0.80    4.0115e+12    5.2900e+11    9.7000e+10    4.0500e+10
0.80  0.85    3.7370e+12    4.8350e+11    9.9500e+10    4.8000e+10
0.85  0.90    3.4320e+12    4.6850e+11    1.0150e+11    3.2500e+10
0.90  0.95    3.1885e+12    3.8650e+11    8.6000e+10    3.3000e+10
0.95  1.00    2.9345e+12    3.7250e+11    8.5500e+10    2.8000e+10
1.00  1.05    2.7245e+12    3.4000e+11    6.7000e+10    3.3000e+10
1.05  1.10    2.5695e+12    3.0650e+11    6.6000e+10    2.4000e+10
1.10  1.15    2.3840e+12    2.8550e+11    6.5500e+10    2.3000e+10
1.15  1.20    2.1700e+12    2.5600e+11    6.4000e+10    2.0000e+10
1.20  1.25    2.0850e+12    2.3050e+11    6.5000e+10    1.7500e+10
1.25  1.30    1.9455e+12    2.1000e+11    5.2500e+10    1.9000e+10
1.30  1.35    1.7875e+12    1.8650e+11    4.8000e+10    1.8000e+10
1.35  1.40    1.7240e+12    1.8000e+11    5.3500e+10    1.1000e+10
1.40  1.45    1.5705e+12    1.6500e+11    3.9500e+10    1.5500e+10
1.45  1.50    1.4595e+12    1.7400e+11    3.6000e+10    1.5500e+10
1.50  1.55    1.3525e+12    1.3600e+11    3.5000e+10    1.4500e+10
1.55  1.60    1.2690e+12    1.2200e+11    4.8500e+10    1.4500e+10
1.60  1.65    1.1760e+12    1.1500e+11    3.4500e+10    9.5000e+09
1.65  1.70    1.1210e+12    1.3450e+11    3.2500e+10    7.5000e+09
1.70  1.75    1.0410e+12    1.0300e+11    3.1500e+10    8.0000e+09
1.75  1.80    9.2250e+11    9.7500e+10    2.4500e+10    9.0000e+09
1.80  1.85    8.5700e+11    9.0000e+10    2.8000e+10    8.5000e+09
1.85  1.90    8.3100e+11    8.6000e+10    2.8000e+10    8.0000e+09
1.90  1.95    7.4150e+11    7.5500e+10    1.9000e+10    4.5000e+09
1.95  2.00    7.3450e+11    7.1000e+10    2.3000e+10    1.1500e+10
2.00  2.05    6.5600e+11    5.1000e+10    2.1000e+10    6.0000e+09
2.05  2.10    6.2800e+11    6.0500e+10    1.7500e+10    5.5000e+09
2.10  2.15    5.8500e+11    4.8500e+10    1.6500e+10    7.0000e+09
2.15  2.20    5.3900e+11    4.7500e+10    1.4000e+10    6.5000e+09
2.20  2.25    4.8750e+11    4.3500e+10    2.1500e+10    7.5000e+09
2.25  2.30    4.4850e+11    3.6500e+10    2.1500e+10    5.5000e+09
2.30  2.35    4.4750e+11    3.5500e+10    1.7000e+10    5.5000e+09
2.35  2.40    4.0200e+11    3.3000e+10    1.0500e+10    5.5000e+09
2.40  2.45    3.7100e+11    2.4000e+10    1.4000e+10    6.0000e+09
2.45  2.50    3.4550e+11    3.4500e+10    1.1500e+10    4.5000e+09
2.50  2.55    3.0500e+11    2.4000e+10    1.2000e+10    3.5000e+09
2.55  2.60    2.9650e+11    2.0500e+10    1.0000e+10    4.5000e+09
2.60  2.65    2.7700e+11    1.3000e+10    9.5000e+09    2.0000e+09
2.65  2.70    2.5650e+11    1.5500e+10    9.5000e+09    2.5000e+09
2.70  2.75    2.2550e+11    1.5000e+10    1.3000e+10    3.5000e+09
2.75  2.80    2.1600e+11    1.3000e+10    7.5000e+09    2.5000e+09
2.80  2.85    2.2250e+11    6.5000e+09    5.5000e+09    2.5000e+09
2.85  2.90    2.0400e+11    8.5000e+09    7.5000e+09    4.0000e+09
2.90  2.95    1.9150e+11    3.0000e+09    8.5000e+09    3.0000e+09
2.95  3.00    1.8250e+11    6.5000e+09    8.5000e+09    3.0000e+09
