  Elo    Ehi        numu      numubar         nue      nuebar
0.00  0.05    7.6800e+11    1.1400e+11    5.4300e+11    1.2300e+11
0.05  0.10    2.8905e+12    3.4900e+11    2.1650e+12    3.0000e+11
0.10  0.15    4.5510e+12    4.7100e+11    3.3520e+12    3.5550e+11
0.15  0.20    3.9875e+12    4.9750e+11    3.1090e+12    2.8050e+11
0.20  0.25    9.5958e+13    4.9400e+11    8.2850e+11    2.3400e+11
0.25  0.30    3.0665e+12    4.4250e+11    3.8200e+11    1.6950e+11
0.30  0.35    2.6720e+12    3.8300e+11    3.1000e+11    1.3500e+11
0.35  0.40    2.3215e+12    3.0800e+11    2.5350e+11    1.1400e+11
0.40  0.45    1.9445e+12    2.8850e+11    2.1700e+11    8.9000e+10
0.45  0.50    1.7580e+12    2.5300e+11    1.9400e+11    8.7500e+10
0.50  0.55    1.5880e+12    2.2050e+11    1.8050e+11    7.5000e+10
0.55  0.60    1.4585e+12    1.7650e+11    1.6500e+11    7.0500e+10
0.60  0.65    1.3860e+12    1.6550e+11    1.5250e+11    6.7000e+10
0.65  0.70    1.2805e+12    1.5500e+11    1.3900e+11    4.8000e+10
0.70  0.75    1.1770e+12    1.4650e+11    1.1300e+11    4.6500e+10
0.75  0.80    1.1245e+12    1.2400e+11    9.6500e+10    4.0500e+10
0.80  0.85    1.0160e+12    1.0100e+11    9.9000e+10    4.8000e+10
0.85  0.90    1.0105e+12    1.0550e+11    1.0150e+11    3.2500e+10
0.90  0.95    9.0000e+11    1.0600e+11    8.6000e+10    3.3000e+10
0.95  1.00    8.9600e+11    8.7500e+10    8.5500e+10    2.7500e+10
1.00  1.05    7.9500e+11    7.8000e+10    6.7000e+10    3.3000e+10
1.05  1.10    7.6700e+11    6.1000e+10    6.6000e+10    2.3500e+10
1.10  1.15    7.2200e+11    5.3500e+10    6.5500e+10    2.3000e+10
1.15  1.20    6.9000e+11    5.9000e+10    6.4000e+10    2.0000e+10
1.20  1.25    6.7600e+11    5.2500e+10    6.5000e+10    1.7500e+10
1.25  1.30    6.2650e+11    4.6000e+10    5.2500e+10    1.8500e+10
1.30  1.35    6.0200e+11    4.1500e+10    4.7000e+10    1.7500e+10
1.35  1.40    5.9850e+11    3.3500e+10    5.3500e+10    1.1000e+10
1.40  1.45    5.6300e+11    3.8500e+10    3.9500e+10    1.5500e+10
1.45  1.50    5.3200e+11    2.9500e+10    3.6000e+10    1.5500e+10
1.50  1.55    5.0150e+11    2.6500e+10    3.4500e+10    1.4500e+10
1.55  1.60    4.8750e+11    2.3000e+10    4.8500e+10    1.4500e+10
1.60  1.65    4.4350e+11    1.8000e+10    3.4500e+10    9.5000e+09
1.65  1.70    4.5350e+11    2.7500e+10    3.2000e+10    7.5000e+09
1.70  1.75    4.2900e+11    1.8500e+10    3.1500e+10    8.0000e+09
1.75  1.80    3.8400e+11    2.1000e+10    2.4500e+10    9.0000e+09
1.80  1.85    3.7300e+11    2.0000e+10    2.8000e+10    8.5000e+09
1.85  1.90    3.7400e+11    1.2500e+10    2.8000e+10    8.0000e+09
1.90  1.95    3.3750e+11    1.4500e+10    1.9000e+10    4.5000e+09
1.95  2.00    3.4150e+11    1.5500e+10    2.3000e+10    1.1500e+10
2.00  2.05    3.2400e+11    9.0000e+09    2.1000e+10    6.0000e+09
2.05  2.10    3.0300e+11    1.3000e+10    1.7500e+10    5.5000e+09
2.10  2.15    2.8950e+11    7.5000e+09    1.6500e+10    7.0000e+09
2.15  2.20    2.8700e+11    7.5000e+09    1.4000e+10    6.5000e+09
2.20  2.25    2.7900e+11    8.0000e+09    2.1500e+10    7.5000e+09
2.25  2.30    2.5400e+11    5.0000e+09    2.1500e+10    5.5000e+09
2.30  2.35    2.7150e+11    7.0000e+09    1.7000e+10    5.5000e+09
2.35  2.40    2.4800e+11    6.5000e+09    1.0500e+10    5.5000e+09
2.40  2.45    2.4300e+11    5.0000e+09    1.4000e+10    6.0000e+09
2.45  2.50    2.4800e+11    7.0000e+09    1.1500e+10    4.5000e+09
2.50  2.55    2.1300e+11    4.0000e+09    1.2000e+10    3.5000e+09
2.55  2.60    2.1750e+11    5.5000e+09    9.5000e+09    4.5000e+09
2.60  2.65    2.0300e+11    3.0000e+09    9.5000e+09    2.0000e+09
2.65  2.70    1.9500e+11    4.5000e+09    9.5000e+09    2.5000e+09
2.70  2.75    1.8200e+11    3.5000e+09    1.3000e+10    3.5000e+09
2.75  2.80    1.8500e+11    2.0000e+09    7.5000e+09    2.5000e+09
2.80  2.85    1.8800e+11    1.0000e+09    5.5000e+09    2.5000e+09
2.85  2.90    1.7950e+11    3.0000e+09    7.0000e+09    4.0000e+09
2.90  2.95    1.7750e+11    1.5000e+09    8.5000e+09    3.0000e+09
2.95  3.00    1.7000e+11    4.0000e+09    8.5000e+09    3.0000e+09
