  Elo    Ehi        numu      numubar         nue      nuebar
0.00  0.05    8.6722e+13    6.1686e+13    2.0000e+09    5.0000e+08
0.05  0.10    6.0124e+13    3.8112e+13    6.5000e+09    4.5000e+09
0.10  0.15    2.9579e+13    1.3980e+13    6.5000e+09    4.0000e+09
0.15  0.20    1.9022e+13    7.3730e+12    2.5000e+09    1.5000e+09
0.20  0.25    1.3419e+13    4.4580e+12    0.0000e+00    5.0000e+08
0.25  0.30    1.0386e+13    2.9675e+12    5.0000e+08    5.0000e+08
0.30  0.35    8.3050e+12    2.0755e+12    1.0000e+09    1.5000e+09
0.35  0.40    7.1025e+12    1.6260e+12    1.5000e+09    1.0000e+09
0.40  0.45    6.0180e+12    1.2580e+12    2.0000e+09    0.0000e+00
0.45  0.50    5.2965e+12    1.0240e+12    1.5000e+09    0.0000e+00
0.50  0.55    4.7890e+12    8.2700e+11    1.5000e+09    0.0000e+00
0.55  0.60    4.2115e+12    7.0100e+11    1.0000e+09    0.0000e+00
0.60  0.65    3.7445e+12    5.9400e+11    5.0000e+08    0.0000e+00
0.65  0.70    3.4345e+12    5.2600e+11    0.0000e+00    0.0000e+00
0.70  0.75    3.1675e+12    4.6200e+11    0.0000e+00    0.0000e+00
0.75  0.80    2.8870e+12    4.0500e+11    5.0000e+08    0.0000e+00
0.80  0.85    2.7210e+12    3.8250e+11    5.0000e+08    0.0000e+00
0.85  0.90    2.4215e+12    3.6300e+11    0.0000e+00    0.0000e+00
0.90  0.95    2.2885e+12    2.8050e+11    0.0000e+00    0.0000e+00
0.95  1.00    2.0385e+12    2.8500e+11    0.0000e+00    5.0000e+08
1.00  1.05    1.9295e+12    2.6200e+11    0.0000e+00    0.0000e+00
1.05  1.10    1.8025e+12    2.4550e+11    0.0000e+00    5.0000e+08
1.10  1.15    1.6620e+12    2.3200e+11    0.0000e+00    0.0000e+00
1.15  1.20    1.4800e+12    1.9700e+11    0.0000e+00    0.0000e+00
1.20  1.25    1.4090e+12    1.7800e+11    0.0000e+00    0.0000e+00
1.25  1.30    1.3190e+12    1.6400e+11    0.0000e+00    5.0000e+08
1.30  1.35    1.1855e+12    1.4500e+11    1.0000e+09    5.0000e+08
1.35  1.40    1.1255e+12    1.4650e+11    0.0000e+00    0.0000e+00
1.40  1.45    1.0075e+12    1.2650e+11    0.0000e+00    0.0000e+00
1.45  1.50    9.2750e+11    1.4450e+11    0.0000e+00    0.0000e+00
1.50  1.55    8.5100e+11    1.0950e+11    5.0000e+08    0.0000e+00
1.55  1.60    7.8150e+11    9.9000e+10    0.0000e+00    0.0000e+00
1.60  1.65    7.3250e+11    9.7000e+10    0.0000e+00    0.0000e+00
1.65  1.70    6.6750e+11    1.0700e+11    5.0000e+08    0.0000e+00
1.70  1.75    6.1200e+11    8.4500e+10    0.0000e+00    0.0000e+00
1.75  1.80    5.3850e+11    7.6500e+10    0.0000e+00    0.0000e+00
1.80  1.85    4.8400e+11    7.0000e+10    0.0000e+00    0.0000e+00
1.85  1.90    4.5700e+11    7.3500e+10    0.0000e+00    0.0000e+00
1.90  1.95    4.0400e+11    6.1000e+10    0.0000e+00    0.0000e+00
1.95  2.00    3.9300e+11    5.5500e+10    0.0000e+00    0.0000e+00
2.00  2.05    3.3200e+11    4.2000e+10    0.0000e+00    0.0000e+00
2.05  2.10    3.2500e+11    4.7500e+10    0.0000e+00    0.0000e+00
2.10  2.15    2.9550e+11    4.1000e+10    0.0000e+00    0.0000e+00
2.15  2.20    2.5200e+11    4.0000e+10    0.0000e+00    0.0000e+00
2.20  2.25    2.0850e+11    3.5500e+10    0.0000e+00    0.0000e+00
2.25  2.30    1.9450e+11    3.1500e+10    0.0000e+00    0.0000e+00
2.30  2.35    1.7600e+11    2.8500e+10    0.0000e+00    0.0000e+00
2.35  2.40    1.5400e+11    2.6500e+10    0.0000e+00    0.0000e+00
2.40  2.45    1.2800e+11    1.9000e+10    0.0000e+00    0.0000e+00
2.45  2.50    9.7500e+10    2.7500e+10    0.0000e+00    0.0000e+00
2.50  2.55    9.2000e+10    2.0000e+10    0.0000e+00    0.0000e+00
2.55  2.60    7.9000e+10    1.5000e+10    5.0000e+08    0.0000e+00
2.60  2.65    7.4000e+10    1.0000e+10    0.0000e+00    0.0000e+00
2.65  2.70    6.1500e+10    1.1000e+10    0.0000e+00    0.0000e+00
2.70  2.75    4.3500e+10    1.1500e+10    0.0000e+00    0.0000e+00
2.75  2.80    3.1000e+10    1.1000e+10    0.0000e+00    0.0000e+00
2.80  2.85    3.4500e+10    5.5000e+09    0.0000e+00    0.0000e+00
2.85  2.90    2.4500e+10    5.5000e+09    5.0000e+08    0.0000e+00
2.90  2.95    1.4000e+10    1.5000e+09    0.0000e+00    0.0000e+00
2.95  3.00    1.2500e+10    2.5000e+09    0.0000e+00    0.0000e+00
