                        Flux [/cm^2/50MeV/1E21POT]
Bin#   Energy           numu      numubar   nue       nuebar 
----------------------------------------------------------------
1      0.00 - 0.01      1.33e+09  1.29e+09  2.20e+07  3.77e+06 
2      0.01 - 0.02      7.13e+09  7.74e+09  9.99e+07  1.71e+07 
3      0.02 - 0.03      1.53e+10  1.82e+10  2.56e+08  3.83e+07 
4      0.03 - 0.04      2.51e+10  3.12e+10  4.38e+08  6.67e+07 
5      0.04 - 0.05      3.53e+10  4.47e+10  6.96e+08  8.79e+07 
6      0.05 - 0.06      4.46e+10  5.96e+10  9.56e+08  1.16e+08 
7      0.06 - 0.07      5.45e+10  7.05e+10  1.27e+09  1.46e+08 
8      0.07 - 0.08      6.50e+10  7.35e+10  1.64e+09  1.71e+08 
9      0.08 - 0.09      8.00e+10  7.19e+10  2.02e+09  2.01e+08 
10     0.09 - 0.10      1.03e+11  6.79e+10  2.38e+09  2.31e+08 
11     0.10 - 0.11      1.13e+11  6.26e+10  2.81e+09  2.60e+08 
12     0.11 - 0.12      1.20e+11  5.75e+10  3.18e+09  2.82e+08 
13     0.12 - 0.13      1.33e+11  5.22e+10  3.48e+09  2.91e+08 
14     0.13 - 0.14      1.46e+11  5.01e+10  3.89e+09  3.21e+08 
15     0.14 - 0.15      1.60e+11  4.81e+10  4.32e+09  3.48e+08 
16     0.15 - 0.16      1.72e+11  4.60e+10  4.69e+09  3.65e+08 
17     0.16 - 0.17      1.90e+11  4.49e+10  5.01e+09  3.87e+08 
18     0.17 - 0.18      2.09e+11  4.38e+10  5.36e+09  3.99e+08 
19     0.18 - 0.19      2.28e+11  4.29e+10  5.51e+09  4.06e+08 
20     0.19 - 0.20      2.50e+11  4.41e+10  5.81e+09  4.27e+08 
21     0.20 - 0.21      2.75e+11  4.26e+10  6.15e+09  4.57e+08 
22     0.21 - 0.22      3.01e+11  4.22e+10  6.53e+09  4.69e+08 
23     0.22 - 0.23      3.31e+11  4.33e+10  6.65e+09  4.76e+08 
24     0.23 - 0.24      3.59e+11  4.26e+10  6.93e+09  5.02e+08 
25     0.24 - 0.25      3.92e+11  4.38e+10  7.32e+09  5.25e+08 
26     0.25 - 0.26      4.27e+11  4.43e+10  7.39e+09  5.21e+08 
27     0.26 - 0.27      4.61e+11  4.23e+10  7.60e+09  5.35e+08 
28     0.27 - 0.28      4.99e+11  4.25e+10  7.84e+09  5.55e+08 
29     0.28 - 0.29      5.40e+11  4.18e+10  8.11e+09  5.65e+08 
30     0.29 - 0.30      5.81e+11  4.34e+10  8.18e+09  5.70e+08 
31     0.30 - 0.31      6.17e+11  4.07e+10  8.35e+09  5.86e+08 
32     0.31 - 0.32      6.56e+11  4.09e+10  8.52e+09  6.14e+08 
33     0.32 - 0.33      7.05e+11  4.18e+10  8.66e+09  5.96e+08 
34     0.33 - 0.34      7.42e+11  4.41e+10  8.82e+09  6.06e+08 
35     0.34 - 0.35      7.90e+11  4.31e+10  8.91e+09  6.14e+08 
36     0.35 - 0.36      8.32e+11  4.36e+10  9.12e+09  6.33e+08 
37     0.36 - 0.37      8.77e+11  4.44e+10  9.23e+09  6.55e+08 
38     0.37 - 0.38      9.41e+11  4.02e+10  9.14e+09  6.49e+08 
39     0.38 - 0.39      9.78e+11  4.40e+10  9.26e+09  6.47e+08 
40     0.39 - 0.40      1.03e+12  4.59e+10  9.33e+09  6.58e+08 
41     0.40 - 0.41      1.09e+12  4.25e+10  9.45e+09  6.74e+08 
42     0.41 - 0.42      1.14e+12  4.63e+10  9.50e+09  6.50e+08 
43     0.42 - 0.43      1.19e+12  4.56e+10  9.45e+09  6.81e+08 
44     0.43 - 0.44      1.25e+12  4.54e+10  9.36e+09  6.59e+08 
45     0.44 - 0.45      1.30e+12  4.43e+10  9.45e+09  6.77e+08 
46     0.45 - 0.46      1.36e+12  4.55e+10  9.54e+09  6.91e+08 
47     0.46 - 0.47      1.41e+12  4.62e+10  9.38e+09  6.88e+08 
48     0.47 - 0.48      1.46e+12  4.54e+10  9.59e+09  6.77e+08 
49     0.48 - 0.49      1.51e+12  4.35e+10  9.64e+09  6.62e+08 
50     0.49 - 0.50      1.57e+12  4.66e+10  9.13e+09  6.78e+08 
51     0.50 - 0.51      1.60e+12  4.38e+10  9.29e+09  6.85e+08 
52     0.51 - 0.52      1.60e+12  4.64e+10  9.26e+09  6.77e+08 
53     0.52 - 0.53      1.65e+12  4.72e+10  9.08e+09  7.28e+08 
54     0.53 - 0.54      1.66e+12  4.41e+10  9.24e+09  6.75e+08 
55     0.54 - 0.55      1.69e+12  4.35e+10  9.07e+09  6.83e+08 
56     0.55 - 0.56      1.66e+12  4.22e+10  8.91e+09  7.04e+08 
57     0.56 - 0.57      1.65e+12  4.53e+10  8.90e+09  7.06e+08 
58     0.57 - 0.58      1.65e+12  4.14e+10  8.74e+09  6.89e+08 
59     0.58 - 0.59      1.64e+12  4.29e+10  8.73e+09  6.95e+08 
